album,artist
5 Things I Can Taste,Teenage Joans
Aim and Ignite (Deluxe Version),fun.
Air Guitar,Sobs
Almost Fairy Tale,Rabbit!
Aurora Gory Alice,Letters To Cleo
Back to Nebraska,Letters To Cleo
Beatopia,beabadoobee
Blood Bunny,chloe moriondo
Breakfast for Dinner,Winnetka Bowling League
Broom,Someone Still Loves You Boris Yeltsin
Bubblebath,Poppy
Candy Apple,Teenage Joans
Cannibal Sea,The Essex Green
Castaways and Cutouts,The Decemberists
Changing Shapes,Chloe Parché
Cloud 9,Beach Bunny
Combinations (Standard Version),Eisley
Cooties,BUGS
Costello Music,The Fratellis
Crushes (The Covers Mixtape),Mates of State
Cut out and Keep,Farrah
Demolition,Adam Schmitt
don’t miss me,Claire Rosinkranz
Double Dutch,The Eames Era
Double Line,Dragon Inn 3
Dream Boy,Beach Bunny
Extraordinary Machine,Fiona Apple
Fake My Death,Dolo Tonight
fall for anything,Lexie Carroll
Finally Woken,Jem
Flowers,Miley Cyrus
Fly By Wire,Someone Still Loves You Boris Yeltsin
Fountains of Wayne,Fountains Of Wayne
From Stone and Steel,Big Big Train
Garageband Superstar,Lauran Hibberd
Give It Up,Meet Me @ The Altar
Give Up,The Postal Service
Go!,Letters To Cleo
Go for It,Rabbit!
Gone Now,Bleachers
Good 4 U,Me First And The Gimme Gimmes
Goodbye Blues,The Hush Sound
Good Girls (Don’t Get Used),Beach Bunny
Grand Romantic,Nate Ruess
Greatest Hits,Queen
Grrr...,Bishop Allen
Hamilton (Original Broadway Cast Recording),Lin-Manuel Miranda
Hardcore!,CARR
Hit By a Train: The Best of Old 97's,Old 97's
Honeymoon,Beach Bunny
I Love You,Teen Jesus and the Jean Teasers
Indie Mix,Various Artists
Is This It,The Strokes
It's Christmas And I Fucking Miss You (feat. Pup),Charly Bliss
IV,Marvelous 3
Juno,Remi Wolf
Let It Sway (Deluxe Edition),Someone Still Loves You Boris Yeltsin
lightning,tiger lili
Lights Out,Bishop Allen
Lonely,George Moir
Love Me Different,Hayley Williams
Lucky,Bad Snacks
Manners Street,Bakers Eddy
Mercury Girl,Chime School
Model Citizen,Meet Me @ The Altar
mona lisa,mxmtoon
More Adventurous (U.S. Release),Rilo Kiley
Mountaintops,Mates of State
Ms. California,Beach Bunny
My Shot (feat. Busta Rhymes, Joell Ortiz & Nate Ruess) [Rise Up Remix] [from The Hamilton Mixtape],The Roots
Neat Tape 2,Bad Snacks
Oxygen,Beach Bunny
Paramore,Paramore
Pershing,Someone Still Loves You Boris Yeltsin
Pinkerton,Weezer
Plans,Death Cab For Cutie
Play With Your Head,Candy Butchers
Prolonging the Magic,CAKE
puppy luv,chloe moriondo
Re-Arrange Us,Mates of State
Rilo Kiley,Rilo Kiley
rising,mxmtoon
rising (the deluxe),mxmtoon
Rockin' The Suburbs,Ben Folds
Room Noises,Eisley
Say What You Mean,John-Allison Weiss
Sky Full of Holes,Fountains Of Wayne
Some Nights,fun.
Sonder,The Wrecks
Split Ends,Chloe Parché
SUCKERPUNCH,chloe moriondo
Sugarcoat,In Her Own Words
Sun, Sun, Sun,The Elected
Superglue,Teenage Joans
Take Offs And Landings,Rilo Kiley
Tale of A Man,Teenage Dads
Tape Club,Someone Still Loves You Boris Yeltsin
Teenage Dirtbag (feat. chloe moriondo),Cavetown
Telekinesis!,Telekinesis
Tell It to the Volcano,Miniature Tigers
The American Dream Is Killing Me,Green Day
The Broken String,Bishop Allen
The Colour And The Shape,Foo Fighters
The Execution Of All Things,Rilo Kiley
The Golden Republic,The Golden Republic
The High Country,Someone Still Loves You Boris Yeltsin
There Is Nothing Left To Lose,Foo Fighters
The Rot That Grows Inside My Chest,Teenage Joans
The Shape of Brat Pop to Come,holychild
The Spade,Butch Walker
The Valley (Deluxe),Eisley
Tidal,Fiona Apple
Tinfoil Hat,Dolo Tonight
Traffic And Weather,Fountains Of Wayne
Transatlanticism,Death Cab For Cutie
TV Boyfriends,CARR
Under The Blacklight (Standard Version),Rilo Kiley
Vertigo,Beach Bunny
We Are The Pipettes,The Pipettes
Weezer (Blue Album),Weezer
Welcome Interstate Managers,Fountains Of Wayne
When Did We Do That?,Letters To Cleo
When The Pawn...,Fiona Apple
Whim,Hayley Williams
Wholesale Meats And Fish,Letters To Cleo
You’d Be Stars (feat. chloe moriondo),Sydney Rose
Young Enough,Charly Bliss
