artist,id
2Krispii,37713574
ABBA,19275
Abigail Osborn,23344205
About Yesterday,11042652
Ace of Base,3520570
Addison Grace,20811802
Aivi & Surasshu,8549189
Alanis Morissette,8986
aleksiah,35351034
Alessi Rose,32588915
Alex Winston,3887456
Alvvays,5646015
Aly & AJ,10765
Amy Shark,5449121
Annie DiRusso,8586030
Attic Ocean,31643154
Audrey Hobert,28564966
Avery Cochrane,23823181
Bailey Perrie,9370269
Bakers Eddy,8189764
Barenaked Ladies,13954
beabadoobee,9254258
Beach Bunny,8085866
Belle & Sebastian,3521914
Ben Folds,1686
Best Coast,3718668
Better Than Ezra,13763
Beyoncé,1566
Big Girl,3877899
Bill Wurtz,7064508
Bishop Allen,34654
Boys Go To Jupiter,37760860
Built To Spill,14106
Butch Walker,4335
Caitlyn Hessell,4286310
CAKE,572
Camera Obscura,3587817
Cami Petyn,17706447
Candy Butchers,3799405
Care Bears on Fire,5199241
Carla Wehbe,8034381
Caroline Kingsbury,7813713
CARR,3965052
case/lang/veirs,7621339
Cavetown,8868940
Chappell Roan,8977726
Charlie Mtn.,9610978
Charlotte Sands,10677020
Charly Bliss,7553838
Chase Petra,8493958
Chime School,27490916
chloe moriondo,10147031
Chloe Parché,23635724
Chloe Slater,41504919
CHVRCHES,4764745
Claire Rosinkranz,17082786
Clairo,8685627
Claud,22701506
Courting,10390349
Courtney Barnett,5086494
Cristina Quesada,5102998
Cry Club,10007975
Cumulus,3748418
Daisy Grenade,30848051
Dear Seattle,8499656
Death Cab For Cutie,29630
Dev Lemons,20410000
Devon Again,26510773
Diva Bleach,26532562
Dodie,5998763
Dolo Tonight,9406756
Dragon Inn 3,9983623
Dressy Bessy,3932952
Duncan Sheik,14763
Dune Rats,5643642
Dungeon of Skeletons,19837603
Echosmith,4624156
effie isobel,47938025
Egoism,3932736
Eisley,13871
ella jane,8819615
Elliott Smith,23839769
Ellis,18106764
End Must Be,54165485
Esme Emerson,29130821
Fazerdaze,6440088
Fickle Friends,5272392
Fiona Apple,2978
Fleetwood Mac,1134
florence road,34588428
Foo Fighters,2753
For Tracy Hyde,8382488
Fountains Of Wayne,11230
Frances Quinlan,12294454
Frankie Cosmos,5418312
Frightened Rabbit,3671713
fun.,3762073
Gatlin,16045899
Gin Blossoms,30551
girl in red,9560967
Girl Scout,34663213
Going Spaceward,16356825
Good Kid,21313818
Gossip Grows On Trees,16065815
Green Day,13866
Green Tea Bitches,69631799
Griff,21267939
Guided By Voices,3518014
HAIM,4023228
Harper Simon,3661498
Hoity-Toity,6714294
holychild,4922263
Honey Revenge,8482935
Hope D,10743930
